,id,Brand,Model_Number,Price,Photo,Engine_Type,Body_Type,Fuel_Type,Gearbox_Type,Power_hp,Displacement_l,Torque_lbft,Cylinders,Drivetrain,MPG_City,MPG_Highway
0,0,Honda,Accord Hybrid Sport-L 2023,31670.0,https://www.ccarprice.com/products/Honda_Accord_Hybrid_Sport-L_2023.jpg,2.0L Inline-4 Hybrid,Sedan,Hybrid,CVT,204.0,2.0,247.0,4.0,front,44.0,41.0
1,1,Honda,Accord Sedan 2023,28000.0,https://www.ccarprice.com/products/Honda_Accord_Sedan_2023.jpg,1.5L Turbo Inline-4 Gas,Sedan,Petrol,CVT,192.0,1.5,260.0,4.0,front,30.0,38.0
2,2,Honda,ZR-V 2023,25000.0,https://www.ccarprice.com/products/Honda_ZRV_2023.jpg,2.0L Inline-4,SUV,Petrol,CVT,158.0,2.0,138.0,4.0,front,26.0,32.0
3,3,Honda,HR-V VTi-S 2022,27800.0,https://www.ccarprice.com/products/Honda_HR-V_VTi-S_2022.jpg,2.0L Inline-4 Gas,SUV,Petrol,CVT,119.0,2.0,107.0,4.0,front,13.0,15.0
4,4,Honda,HR-V VTi 2022,26900.0,https://www.ccarprice.com/products/Honda_HR-V_VTi_2022.jpg,2.0L Inline-4 Gas,SUV,Petrol,CVT,119.0,2.0,107.0,4.0,front,13.0,15.0
6,6,Honda,CR-V LX 2023,29990.0,https://www.ccarprice.com/products/Honda_CR_V_LX_2023.jpg,1.5L Turbo Inline-4 Gas,SUV,Petrol,CVT,190.0,1.5,179.0,4.0,front,28.0,34.0
8,8,Honda,Ridgeline Black Edition 2023,46230.0,https://www.ccarprice.com/products/Honda_Ridgeline_Black_Edition_2023.jpg,3.5L V6 Gas,SUV,Petrol,Automatic,280.0,3.5,262.0,6.0,all,18.0,24.0
9,9,Honda,CR-V EX-L 2023,33760.0,https://www.ccarprice.com/products/Honda_CR-V_EX-L_2023.jpg,1.5-liter Turbo Inline-4 Gas,SUV,Petrol,CVT,190.0,1.5,179.0,4.0,front,28.0,34.0
10,10,Honda,Accord Sport SE 1.5T 2023,31070.0,https://www.ccarprice.com/products/Honda_Accord_Sport_SE_1_5T_2023.jpg,1.5L Turbo Inline-4 Gas,Sedan,Petrol,CVT,192.0,1.5,192.0,4.0,front,29.0,35.0
11,11,Honda,CR-V Hybrid Sport Touring 2023,33950.0,https://www.ccarprice.com/products/Honda_CR_V_Hybrid_Sport_Touring_2023_1.jpg,2.0L Inline-4 Hybrid,SUV,Hybrid,CVT,204.0,2.0,247.0,4.0,all,35.0,40.0
12,12,Honda,CR-V Hybrid Sport 2023,32450.0,https://www.ccarprice.com/products/Honda_CR-V_Hybrid_Sport_2023.jpg,2.0L Inline-4 Hybrid,SUV,Hybrid,CVT,204.0,2.0,247.0,4.0,all,35.0,40.0
